*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=extruder control 4
*Date=15:57:29
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
100;0.1µF;0603 [SMD, multilayer];62.2341;-22.6154;-90;Top;C61
101;;;85.0265;-14.8082;0;Bottom;Copper Fill164
102;;;95.25;-26.8478;0;Bottom;Copper Fill107
103;;;21.971;-25.6413;0;Bottom;Copper Fill184
104;;;80.0354;-1.7018;0;Bottom;Copper Fill46
105;;;3.7973;-44.8056;0;Bottom;Copper Fill155
106;;;72.3941;-16.6854;0;Bottom;Via15
107;;;34.3154;-1.7018;0;Bottom;Copper Fill126
108;;;67.2465;-12.446;0;Bottom;Copper Fill81
109;;;50.0762;-35.141;0;Bottom;IMG2
110;;;29.8196;-24.3332;0;Bottom;Copper Fill109
111;;;71.1241;-23.0354;0;Bottom;Via21
112;;;35.3583;-33.0753;0;Bottom;IMG1
113;;;88.8365;-20.2438;0;Bottom;Copper Fill67
114;;;95.25;-47.1678;0;Bottom;Copper Fill6
115;;;50.7365;-23.5966;0;Bottom;Copper Fill216
116;;;50.6222;-4.6482;0;Bottom;Copper Fill28
117;1M;0603 [SMD];62.2341;-14.5654;90;Top;R44
118;0.01µF;0603 [SMD, multilayer];7.62409;-18.8127;90;Top;C23
119;;;87.6554;-1.7018;0;Bottom;Copper Fill49
120;;;54.6354;-1.7018;0;Bottom;Copper Fill38
121;;;93.9165;-7.0104;0;Bottom;Copper Fill51
122;;;39.3954;-1.7018;0;Bottom;Copper Fill34
123;;;15.2441;-12.8754;0;Bottom;Via25
124;;;10.541;-21.8313;0;Bottom;Copper Fill171
125;;;95.25;-47.1678;0;Bottom;Copper Fill92
126;;;67.2465;-13.4366;0;Bottom;Copper Fill80
127;;THT;89.4121;-33.4624;0;Bottom;J13
128;;;77.4954;-1.7018;0;Bottom;Copper Fill139
129;;;95.25;-26.8478;0;Bottom;Copper Fill18
130;;;95.25;-24.3078;0;Bottom;Copper Fill19
131;;;67.7418;-12.9413;0;Bottom;Copper Fill209
132;10µF;A 3216 [SMD, tantalum];13.9741;-33.0654;-90;Top;C46
133;;;69.0184;-35.9894;0;Bottom;TXT8
134;;;42.672;-22.987;0;Bottom;Copper Fill113
135;100;0603 [SMD];7.62409;-14.9954;-90;Top;R32
136;;;13.462;-34.5313;0;Bottom;Copper Fill196
137;;THT;23.7811;-8.5574;90;Bottom;J23
138;;;40.5765;-39.9796;0;Bottom;Copper Fill62
139;;;16.4973;-43.0276;0;Bottom;Copper Fill181
140;;;48.9712;-12.9413;0;Bottom;Copper Fill205
141;;;95.25;-42.0878;0;Bottom;Copper Fill96
142;100;0603 [SMD];41.3196;-14.9954;-90;Top;R40
143;;;49.5341;-12.8754;0;Bottom;Via23
144;;THT;16.5141;-42.0854;90;Bottom;U5
145;;;95.25;-31.9278;0;Bottom;Copper Fill101
146;;;67.3354;-1.7018;0;Bottom;Copper Fill137
147;1µF;0603 [SMD, multilayer];38.7903;-18.8054;90;Top;C54
148;;;97.5614;-47.1678;0;Bottom;Copper Fill93
149;;;41.4782;-40.8813;0;Bottom;Copper Fill63
150;;;7.62409;-21.7654;0;Bottom;Via16
151;;;40.5765;-39.9796;0;Bottom;Copper Fill167
152;;;67.3141;-12.8754;0;Bottom;Via22
153;;;17.9324;-26.6954;0;Bottom;Copper Fill103
154;;;95.25;-24.3078;0;Bottom;Copper Fill112
155;;;40.5765;-1.9304;0;Bottom;Copper Fill147
156;10µF;A 3216 [SMD, tantalum];15.2441;-16.8154;90;Top;C29
157;10µF;A 3216 [SMD, tantalum];33.0241;-16.8154;90;Top;C52
158;;;15.2273;-12.446;0;Bottom;Copper Fill198
159;;;43.1165;-3.6322;0;Bottom;Copper Fill150
160;;;95.25;-31.9278;0;Bottom;Copper Fill16
161;;;19.4818;-29.4513;0;Bottom;Copper Fill215
162;1M;0603 [SMD];80.0141;-14.5654;90;Top;R47
163;;;50.8041;-23.0354;0;Bottom;Via26
164;;;35.9918;-23.1013;0;Bottom;Copper Fill73
165;;;66.9417;-43.7896;0;Bottom;Copper Fill166
166;;;74.041;-24.9301;0;Bottom;Copper Fill190
167;;;3.7973;-47.117;0;Bottom;Copper Fill154
168;;;32.9565;-12.446;0;Bottom;Copper Fill201
169;;THT;76.4308;-8.55593;90;Bottom;J26
170;;;62.2341;-28.1154;0;Bottom;Via12
171;;;52.8193;-24.384;0;Bottom;Copper Fill212
172;;;59.7154;-1.7018;0;Bottom;Copper Fill134
173;1µF;0603 [SMD, multilayer];22.8641;-18.8011;90;Top;C49
174;;msop8;56.8641;-25.2504;90;Top;U9
175;;;59.7154;-1.7018;0;Bottom;Copper Fill40
176;;;90.1954;-1.7018;0;Bottom;Copper Fill50
177;;;44.4754;-1.7018;0;Bottom;Copper Fill36
178;;;29.5402;-40.8813;0;Bottom;Copper Fill158
179;;;82.5541;-16.6854;0;Bottom;Via14
180;;;95.25;-39.5478;0;Bottom;Copper Fill98
181;;;38.0365;-39.9796;0;Bottom;Copper Fill66
182;;;97.5614;-47.1678;0;Bottom;Copper Fill7
183;1µF;0603 [SMD, multilayer];74.9341;-18.3754;90;Top;C64
184;;;57.1754;-1.7018;0;Bottom;Copper Fill39
185;;;36.8341;-17.9554;0;Bottom;Via7
186;;;15.6972;-12.9413;0;Bottom;Copper Fill200
187;;;3.7973;-47.117;0;Bottom;Copper Fill59
188;1M;0603 [SMD];27.9441;-14.9897;90;Top;R38
189;;msop8;6.06409;-25.2238;90;Top;U6
190;;;73.152;-25.5905;0;Bottom;Copper Fill188
191;;;87.9348;-42.1513;0;Bottom;Copper Fill191
192;0.1µF;0603 [SMD, multilayer];80.0009;-22.6286;-90;Top;C66
193;;;95.25;-42.0878;0;Bottom;Copper Fill11
