*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=extruder control 4
*Date=19:31:12
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
101;;;59.7154;-1.7018;0;Bottom;Copper Fill134
102;;;54.2544;-27.2288;0;Bottom;Copper Fill105
103;;;13.462;-34.5313;0;Bottom;Copper Fill196
104;;;95.25;-14.1478;0;Bottom;Copper Fill24
105;;;14.7066;-12.9413;0;Bottom;Copper Fill76
106;;;15.2273;-12.446;0;Bottom;Copper Fill197
107;100;0603 [SMD];77.4742;-14.5578;-90;Top;R46
108;;THT;35.5641;-43.3554;0;Bottom;J19
109;;;19.4818;-29.4513;0;Bottom;Copper Fill214
110;0.01µF;0603 [SMD, multilayer];80.0142;-18.3754;-90;Top;C63
111;;;37.7952;-24.9301;0;Bottom;Copper Fill186
112;;;38.0365;-39.9796;0;Bottom;Copper Fill66
113;10µF;A 3216 [SMD, tantalum];85.094;-16.8154;90;Top;C67
114;;;50.0763;-35.141;0;Bottom;IMG2
115;;;43.1165;-1.9304;0;Bottom;Copper Fill149
116;;;52.8828;-24.8158;0;Bottom;Via31
117;;;2.6162;-48.5013;0;Bottom;Copper Fill60
118;0.01µF;0603 [SMD, multilayer];25.4042;-18.8011;90;Top;C50
119;;THT;40.6441;-43.3554;0;Bottom;J18
120;;;50.2412;-23.1013;0;Bottom;Copper Fill89
121;;;35.4965;-39.9796;0;Bottom;Copper Fill64
122;;;54.6354;-1.7018;0;Bottom;Copper Fill38
123;;;95.25;-39.5478;0;Bottom;Copper Fill98
124;47µF;D 7343 [SMD, tantalum];19.054;-35.1254;90;Top;C45
125;;;36.834;-17.9554;0;Bottom;Via7
126;;;3.3274;-24.9301;0;Bottom;Copper Fill183
127;;;10.164;-26.8454;0;Bottom;Via3
128;;;36.068;-48.4886;0;Bottom;Copper Fill3
129;;;54.6354;-1.7018;0;Bottom;Copper Fill132
130;;;96.4565;-7.0104;0;Bottom;Copper Fill53
131;;;28.321;-21.8313;0;Bottom;Copper Fill172
132;;;26.3525;-51.8668;0;Bottom;Copper Fill150
133;;;89.7382;-21.1201;0;Bottom;Copper Fill177
134;;;40.5765;-39.9796;0;Bottom;Copper Fill62
135;;;49.534;-12.8754;0;Bottom;Via23
136;;;34.3154;-1.7018;0;Bottom;Copper Fill32
137;;;17.7165;-43.0276;0;Bottom;Copper Fill181
138;;;52.8193;-25.3746;0;Bottom;Copper Fill83
139;;;77.4954;-1.7018;0;Bottom;Copper Fill139
140;;;50.8;-26.797;0;Bottom;Copper Fill117
141;;THT;17.7841;-42.0854;90;Bottom;U5
142;0.1µF;0603 [SMD, multilayer];14.3942;-38.2754;180;Top;C47
143;;;95.25;-34.4678;0;Bottom;Copper Fill15
144;;;64.4017;-43.7896;0;Bottom;Copper Fill166
145;;;50.8;-26.797;0;Bottom;Copper Fill23
146;;;19.4818;-29.4513;0;Bottom;Copper Fill88
147;;msop8;56.864;-25.2504;90;Top;U9
148;;;21.971;-25.6413;0;Bottom;Copper Fill184
149;;;15.6972;-12.9413;0;Bottom;Copper Fill199
150;0.01µF;0603 [SMD, multilayer];27.9442;-18.8054;-90;Top;C48
151;;;15.6718;-15.4813;0;Bottom;Copper Fill192
152;;;97.5614;-42.0878;0;Bottom;Copper Fill12
153;;;15.244;-12.8754;0;Bottom;Via25
154;;;29.8196;-24.3332;0;Bottom;Copper Fill109
155;;THT;76.4307;-8.55593;90;Bottom;J26
156;;;10.5664;-19.6977;0;Bottom;Copper Fill159
157;;msop8;39.6642;-25.2218;90;Top;U8
158;;;95.25;-26.8478;0;Bottom;Copper Fill18
159;;;62.234;-28.1154;0;Bottom;Via12
160;100;0603 [SMD];7.62408;-14.9954;-90;Top;R32
161;;;67.2465;-12.446;0;Bottom;Copper Fill81
162;;;67.2465;-13.4366;0;Bottom;Copper Fill80
163;1M;0603 [SMD];43.8664;-15.0113;90;Top;R41
164;;;50.8468;-26.8454;0;Bottom;Part1
165;;;50.6222;-4.6482;0;Bottom;Copper Fill28
166;;;74.041;-25.5905;0;Bottom;Copper Fill189
167;0.01µF;0603 [SMD, multilayer];7.62408;-18.8127;90;Top;C23
168;100;0603 [SMD];59.6942;-14.5495;-90;Top;R43
169;;;17.7165;-41.2496;0;Bottom;Copper Fill69
170;;;36.8554;-1.7018;0;Bottom;Copper Fill127
171;;;22.6568;-21.1328;0;Bottom;Copper Fill115
172;;;31.7754;-1.7018;0;Bottom;Copper Fill31
173;;;59.694;-21.7654;0;Bottom;Via19
174;;;82.5754;-1.7018;0;Bottom;Copper Fill141
175;;;38.0365;-39.9796;0;Bottom;Copper Fill170
176;;;95.25;-49.7078;0;Bottom;Copper Fill91
177;;;50.7365;-23.5966;0;Bottom;Copper Fill215
178;;;95.25;-39.5478;0;Bottom;Copper Fill13
179;0.1µF;0603 [SMD, multilayer];43.8539;-22.603;-90;Top;C56
180;;;62.2554;-1.7018;0;Bottom;Copper Fill41
181;;;95.25;-9.0678;0;Bottom;Copper Fill26
182;;;64.7954;-1.7018;0;Bottom;Copper Fill136
183;;;54.991;-24.9809;0;Bottom;Copper Fill187
184;;;56.4388;-4.6736;0;Bottom;Copper Fill27
185;;;85.1154;-1.7018;0;Bottom;Copper Fill142
186;;THT;50.197;-45.1334;-90;Bottom;J14
187;;;40.5765;-39.9796;0;Bottom;Copper Fill167
188;0.1µF;0603 [SMD, multilayer];10.1617;-22.6179;-90;Top;C26
189;;;66.7512;-12.9413;0;Bottom;Copper Fill82
190;;;95.25;-24.3078;0;Bottom;Copper Fill112
191;;;36.8554;-1.7018;0;Bottom;Copper Fill33
192;;;80.0354;-1.7018;0;Bottom;Copper Fill140
193;;;95.25;-31.9278;0;Bottom;Copper Fill16
194;;;77.474;-21.7654;0;Bottom;Via20
195;;;41.914;-21.7654;0;Bottom;Via18
196;;;95.25;-42.0878;0;Bottom;Copper Fill11
197;;;3.7973;-49.657;0;Bottom;Copper Fill154
198;10µF;A 3216 [SMD, tantalum];13.974;-33.0654;-90;Top;C46
199;;;30.4165;-39.9796;0;Bottom;Copper Fill157
200;;;97.5614;-44.6278;0;Bottom;Copper Fill95
201;;;87.6554;-1.7018;0;Bottom;Copper Fill49
202;;;97.5614;-44.6278;0;Bottom;Copper Fill9
203;;;81.1784;-24.3586;0;Bottom;Copper Fill111
204;;;60.9934;-33.0657;0;Bottom;TXT9
205;;;21.971;-24.9809;0;Bottom;Copper Fill185
206;1µF;0603 [SMD, multilayer];57.1542;-18.3754;90;Top;C59
207;;THT;40.291;-8.5574;90;Bottom;J24
208;;;95.25;-16.6878;0;Bottom;Copper Fill120
209;;;44.4754;-1.7018;0;Bottom;Copper Fill36
210;;;95.25;-26.8478;0;Bottom;Copper Fill107
211;;;29.214;-26.8454;0;Bottom;Via6
212;0.01µF;0603 [SMD, multilayer];77.4742;-18.3754;90;Top;C65
213;;;64.7954;-1.7018;0;Bottom;Copper Fill42
214;;;81.284;-28.1154;0;Bottom;Via13
215;;;95.25;-11.6078;0;Bottom;Copper Fill122
216;;;41.9354;-1.7018;0;Bottom;Copper Fill129
217;;THT;89.4121;-33.4624;0;Bottom;J13
218;;;96.4565;-7.0104;0;Bottom;Copper Fill146
219;;;95.25;-44.6278;0;Bottom;Copper Fill8
220;;;67.7418;-12.9413;0;Bottom;Copper Fill208
221;;msop8;6.0641;-25.2238;90;Top;U6
222;;;25.7048;-3.3528;0;Bottom;Copper Fill29
223;;;57.1754;-1.7018;0;Bottom;Copper Fill133
224;1µF;0603 [SMD, multilayer];74.9342;-18.3754;90;Top;C64
225;;;64.774;-16.6854;0;Bottom;Via11
226;;;67.2465;-12.446;0;Bottom;Copper Fill206
227;;;93.9165;-7.0104;0;Bottom;Copper Fill51
228;;;26.3525;-50.165;0;Bottom;Copper Fill151
229;100;0603 [SMD];22.8642;-14.9954;-90;Top;R36
